seed,method,smiles,tanimoto,qed,delta_qed,sa,novel
isoniazid,classical_gru,NNC(=O)c1ccncc1N,0.5161290322580645,0.2806367835799235,-0.035941895192087236,2.333809567066462,True
isoniazid,classical_gru,NNC(=O)c1ccncn1,0.5333333333333333,0.2985393479562164,-0.01803933081579434,2.3698034326095794,True
isoniazid,classical_gru,NNC(=O)c1ccnc(C(N)=O)c1,0.53125,0.300753256436205,-0.01582542233580575,2.1891162335253096,True
isoniazid,classical_gru,NNC(=O)c1ccc(C(N)=O)cc1,0.5769230769230769,0.32058370786766366,0.004005029095652923,1.6426837060527824,True
isoniazid,classical_gru,NNC(=O)c1ccc(O)cc1,0.5769230769230769,0.30088208961778473,-0.015696589154226004,1.6788587978356908,True
isoniazid,classical_gru,NNC(=O)c1ccccn1,0.45161290322580644,0.31657867877201074,0.0,1.8891391468952925,True
isoniazid,classical_gru,NNC(=O)c1ccncc1-c1ccccc1,0.4444444444444444,0.4492679273971826,0.13268924862517184,1.875079913475421,True
isoniazid,classical_gru,Cc1cnccc1C(=O)NN,0.5,0.33684678979099303,0.020268111018982293,2.1563849516818454,True
isoniazid,classical_gru,NNC(=O)c1cncnc1,0.5555555555555556,0.29853934795621645,-0.018039330815794286,2.3516402457963927,True
isoniazid,classical_gru,NNC(=O)c1ccccc1,0.6,0.330985552998467,0.014406874226456257,1.4046424435985898,True
isoniazid,classical_gru,NNC(=O)c1ccnc(C(N)=O)n1,0.4,0.2812421111860689,-0.035336567585941836,2.641311837920915,True
isoniazid,classical_gru,C=C(C(=O)NC=O)c1ccc(C(=O)NN)cc1,0.42857142857142855,0.21590180283718233,-0.10067687593482841,2.594812735686711,True
isoniazid,classical_gru,NNC(=O)c1ccc(N)cc1,0.5769230769230769,0.22622042698017517,-0.09035825179183557,1.7306757209126147,True
isoniazid,classical_gru,NNC(=O)c1ccncc1O,0.5161290322580645,0.2850937951685345,-0.03148488360347623,2.352912643989537,True
isoniazid,classical_gru,NNC(=O)c1cccc(C(=O)O)c1,0.45161290322580644,0.33874522212068253,0.022166543348671797,1.6755663434154204,True
isoniazid,classical_gru,NNC(=O)c1ccncc1C=O,0.47058823529411764,0.2674972672539305,-0.04908141151808021,2.5664464565127325,True
isoniazid,classical_gru,NNC(=O)c1ccc(Cl)cc1,0.5555555555555556,0.3745928894637144,0.05801421069170365,1.5143572593741546,True
isoniazid,classical_gru,NNC(=O)c1ccncc1C(=O)c1ccccc1,0.4722222222222222,0.3618980830485222,0.04531940427651149,2.0114335255394256,True
isoniazid,classical_gru,NNC(=O)c1ccncc1C(N)=O,0.5,0.30075325643620493,-0.015825422335805805,2.268411178580255,True
isoniazid,classical_gru,Cc1ccc(C(=O)NN)cc1,0.5555555555555556,0.3496589546228147,0.033080275850803975,1.481795720912615,True
isoniazid,classical_gru,Cc1ccncc1C(=O)NN,0.5,0.33684678979099303,0.020268111018982293,2.1521803362972296,True
isoniazid,classical_gru,NNC(=O)c1ccncc1Nc1ccc(N)cc1,0.41025641025641024,0.2784692256430881,-0.03810945312892261,2.1396353354941784,True
isoniazid,classical_gru,NNC(=O)c1ccnc(C(=O)O)c1O,0.4,0.2760065690039014,-0.04057210976810932,2.464263537875091,True
isoniazid,classical_gru,NNC(=O)c1cccnc1,0.5862068965517241,0.31657867877201074,0.0,1.8780918941480387,True
isoniazid,classical_gru,NNC(=O)c1cccc(Cl)c1,0.4375,0.3745928894637144,0.05801421069170365,1.6379618747587692,True
isoniazid,classical_gru,NNC(=O)c1ccncc1S(=O)NO,0.4444444444444444,0.2840083347131317,-0.03257034405887904,3.7707792031702008,True
isoniazid,classical_gru,CC(C)(C)c1ccc(C(=O)NN)cc1,0.5172413793103449,0.4030792971944605,0.08650061842244977,1.7132294422409942,True
isoniazid,classical_gru,NCc1cnccc1C(=O)NN,0.48484848484848486,0.30263321334470267,-0.013945465427308068,2.4044338691001457,True
isoniazid,classical_gru,CCNNC(=O)c1cc(C(=O)NN)ccn1,0.4473684210526316,0.29535141690395844,-0.021227261868052294,2.4990586152084724,True
isoniazid,classical_gru,NNC(=O)c1ccncc1CO,0.48484848484848486,0.30476329645358663,-0.011815382318424106,2.4048282746945517,True
isoniazid,classical_gru,NNC(=O)c1ccnc(C(=O)N=O)c1,0.4857142857142857,0.2872323296397998,-0.029346349132210958,2.7097178326557003,True
isoniazid,classical_gru,NNC(=O)c1cc[nH]c1,0.4666666666666667,0.27175392235206436,-0.04482475641994638,2.736211391840941,True
isoniazid,classical_gru,NNCCc1ccc(C(=O)NN)cc1,0.4838709677419355,0.2894091236810109,-0.02716955509099983,2.05007230166847,True
isoniazid,classical_gru,CCc1cnccc1C(=O)NN,0.48484848484848486,0.3746825098602218,0.058103831088211044,2.268439463505741,True
isoniazid,hybrid_qcbm,Cc1cc(C(=O)NN)ccn1,0.5483870967741935,0.33684678979099303,0.020268111018982293,2.093841874758768,True
isoniazid,hybrid_qcbm,NNC(=O)c1ccnc(O)c1,0.5666666666666667,0.2850937951685345,-0.03148488360347623,2.6233834132203064,True
isoniazid,hybrid_qcbm,NNC(=O)c1ccnnc1,0.6071428571428571,0.29853934795621645,-0.018039330815794286,2.55210288315903,True
isoniazid,hybrid_qcbm,Cc1cnccc1C(=O)NN,0.5,0.33684678979099303,0.020268111018982293,2.1563849516818454,True
isoniazid,hybrid_qcbm,NNC(=O)c1ccnc(F)c1,0.5483870967741935,0.25574323674640614,-0.06083544202560459,2.2297326439895375,True
isoniazid,hybrid_qcbm,NNC(=O)c1ccccc1,0.6,0.330985552998467,0.014406874226456257,1.4046424435985898,True
isoniazid,hybrid_qcbm,NNC(=O)c1ccncc1F,0.5,0.3356911317391898,0.01911245296717906,2.1893618747587684,True
isoniazid,hybrid_qcbm,NNC(=O)c1ccncc1O,0.5161290322580645,0.2850937951685345,-0.03148488360347623,2.352912643989537,True
aspirin,classical_gru,CC(=O)Oc1cccnc1Nc1ccccc1,0.46153846153846156,0.8205186568942587,0.2703968602003739,1.8385004907887499,True
aspirin,classical_gru,CC(=O)Oc1ccccc1OC(C)=O,0.68,0.528927875728726,-0.02119392096515882,1.6807737031010443,True
